date,price,open,high,low,volume,relative_change
1992-09-30,418.7,417.8,421.2,396.8,,0.0022
1992-08-31,417.8,414,425.3,412.7,,0.0092
1992-07-31,414,424.2,425.1,408.3,,-0.024
1992-06-30,424.2,408.2,424.8,407.2,,0.0395
1992-05-31,408.1,415.4,417.3,399.9,,-0.0176
1992-04-30,415.4,414.9,418.8,409.9,,0.0012
1992-03-31,414.9,403.7,416.3,392.4,,0.0277
1992-02-29,403.7,412.7,413.8,401.9,,-0.0218
1992-01-31,412.7,408.8,418.1,406.3,,0.0095
1991-12-31,408.8,417,421.2,408.6,,-0.0199
1991-11-30,417.1,375.1,418.3,371.4,,0.1117
1991-10-31,375.2,392.5,398.2,371.6,,-0.0441
1991-09-30,392.5,387.9,393.8,376.1,,0.0119
1991-08-31,387.9,395.4,397.6,382.8,,-0.019
1991-07-31,395.4,387.8,396.8,374.1,,0.0196
1991-06-30,387.8,371.2,387.8,370.9,,0.0447
1991-05-31,371.2,389.8,389.8,368,,-0.0477
1991-04-30,389.8,375.4,389.9,365.8,,0.0384
1991-03-31,375.4,375.2,391.3,370.3,,0.0005
1991-02-28,375.2,367.1,379.7,363.7,,0.0221
1991-01-31,367.1,343.9,371,340.4,,0.0675
1990-12-31,343.9,330.2,343.9,309.4,,0.0415
1990-11-30,330.2,322.2,334,322,,0.0248
1990-10-31,322.2,304,323,301.6,,0.0599
1990-09-30,304,306.1,319.7,294.5,,-0.0069
1990-08-31,306.1,322.6,326.5,296,,-0.0511
1990-07-31,322.6,356.1,357.4,306.2,,-0.0941
1990-06-30,356.1,358,369.8,350.1,,-0.0053
1990-05-31,358,361.2,368.8,351.2,,-0.0089
1990-04-30,361.2,330.8,362.3,330.8,,0.0919
1990-03-31,330.8,339.9,347.3,327.8,,-0.0268
1990-02-28,339.9,331.9,344.5,331.1,,0.0241
1990-01-31,331.9,329.1,336.1,322.1,,0.0085
1989-12-31,329.1,353.4,360.6,319.8,,-0.0688
1989-11-30,353.4,346,354.1,339.6,,0.0214
1989-10-31,346,340.4,346.5,330.9,,0.0165
1989-09-30,340.4,349.1,360.4,327.1,,-0.0249
1989-08-31,349.1,351.4,354.1,341.4,,-0.0065
1989-07-31,351.4,346.1,352.7,339,,0.0153
1989-06-30,346.1,318,346.1,317.3,,0.0884
1989-05-31,318,320.5,329.2,314.4,,-0.0078
1989-04-30,320.5,309.6,323.1,304.1,,0.0352
1989-03-31,309.6,294.9,310.4,294.4,,0.0498
1989-02-28,294.9,288.9,300,286.5,,0.0208
1989-01-31,288.9,297.5,300.6,286.3,,-0.0289
1988-12-31,297.5,277.7,297.5,273.8,,0.0713
1988-11-30,277.7,273.7,280.4,270.5,,0.0146
1988-10-31,273.7,279,280.4,262.9,,-0.019
1988-09-30,279,271.9,283.9,268.8,,0.0261
1988-08-31,271.9,261.5,274.9,257,,0.0398
1988-07-31,261.5,272,274.2,256.5,,-0.0386
1988-06-30,272,273.5,276.4,262.5,,-0.0055
1988-05-31,273.5,262.2,276.9,262.1,,0.0431
1988-04-30,262.2,261.3,263.7,248.8,,0.0034
1988-03-31,261.3,258.9,272.1,254.7,,0.0093
1988-02-29,258.9,267.8,272.6,256.1,,-0.0332
1988-01-31,267.8,257.1,267.8,247.8,,0.0416
1987-12-31,257.1,247.1,261.8,240.2,,0.0405
1987-11-30,247.1,230.3,253.3,221.2,,0.0729
1987-10-31,230.3,251.8,257.2,225.8,,-0.0854
1987-09-30,251.8,321.8,328.9,216.5,,-0.2175
1987-08-31,321.8,329.8,332.2,308.6,,-0.0243
1987-07-31,329.8,318.7,337.9,314.5,,0.0348
1987-06-30,318.7,304,318.9,302.5,,0.0484
1987-05-31,304,290.1,310.3,286.9,,0.0479
1987-04-30,290.1,288.4,298.7,277,,0.0059
1987-03-31,288.4,291.7,303.6,275.7,,-0.0113
1987-02-28,291.7,284.2,302.7,282.3,,0.0264
1987-01-31,284.2,274.1,287.6,273.2,,0.0368
1986-12-31,274.1,242.2,281,242.2,,0.1317
